,evr,n_comp
0,0.0,0.0
0,0.10582687685065426,1.0
0,0.18551980925255473,2.0
0,0.24468739536718914,3.0
0,0.28999416035235065,4.0
0,0.3348819650939794,5.0
0,0.37816923408014363,6.0
0,0.41756657032499495,7.0
0,0.4529726514241037,8.0
0,0.4837901724353062,9.0
0,0.5108660625183522,10.0
0,0.5331896152805311,11.0
0,0.5524344655076013,12.0
0,0.5714469485641208,13.0
0,0.5891293286797876,14.0
0,0.6060708564946241,15.0
0,0.6218877850512116,16.0
0,0.6372783598781238,17.0
0,0.6521803666773769,18.0
0,0.6667971479459252,19.0
0,0.680436901849456,20.0
0,0.6924685488972669,21.0
0,0.7035575050820608,22.0
0,0.7144792028223683,23.0
0,0.7243438825985977,24.0
0,0.734011330173175,25.0
